daily_volume_usd,day,project,trade_count
4052380.176314564,2024-01-10,integral,34
55496.366116353056,2024-01-10,kyberswap,24
3941697.357118655,2024-01-10,maverick,269
38920217.19982761,2024-01-10,pancakeswap,995
179892.98142834927,2024-01-10,shibaswap,111
3760556.3921481567,2024-01-10,solidly,140
2304337.6772322105,2024-01-10,sushiswap,846
615743102.5542208,2024-01-10,uniswap,19644
263211.62188378774,2024-01-10,verse_dex,46
21377653.52065554,2024-01-11,0x-API,1018
8837464.31819663,2024-01-11,1inch-LOP,449
3883237.4447365343,2024-01-11,airswap,448
1319933.437459222,2024-01-11,balancer,62
527.9659951444489,2024-01-11,bancor,1
26130.532990720407,2024-01-11,carbon_defi,3
736821.262328698,2024-01-11,clipper,128
191091643.25813085,2024-01-11,curve,1210
17681.894529968056,2024-01-11,defiswap,129
102718786.57849759,2024-01-11,dodo,216
4054817.9224768956,2024-01-11,integral,38
24821.62669421833,2024-01-11,kyberswap,26
2466824.7481922717,2024-01-11,maverick,107
48926762.918372296,2024-01-11,pancakeswap,1017
116461.45968072912,2024-01-11,shibaswap,118
3577742.4783281633,2024-01-11,solidly,121
2298771.9646207206,2024-01-11,sushiswap,1134
393717849.4388378,2024-01-11,uniswap,19065
10802.844198828265,2024-01-11,verse_dex,18
18353157.344347414,2024-01-12,0x-API,981
9998656.575683009,2024-01-12,1inch-LOP,317
2652036.1817857362,2024-01-12,airswap,357
2111533.094132473,2024-01-12,balancer,72
4234.475368667193,2024-01-12,bancor,3
37598.863206499984,2024-01-12,carbon_defi,4
506128.9887105088,2024-01-12,clipper,98
188900267.84844247,2024-01-12,curve,1446
28260.6499418376,2024-01-12,defiswap,191
148330253.18440664,2024-01-12,dodo,248
4082079.9485977874,2024-01-12,integral,45
48857.000734558096,2024-01-12,kyberswap,37
1996068.9811865503,2024-01-12,maverick,182
37549058.63388287,2024-01-12,pancakeswap,1051
128459.04820969306,2024-01-12,shibaswap,117
1990386.8069474378,2024-01-12,solidly,96
2199240.99822143,2024-01-12,sushiswap,921
6416.7978676668,2024-01-12,swaap,2
341977333.173688,2024-01-12,uniswap,18750
17438.454704222906,2024-01-12,verse_dex,34
14458312.26566808,2024-01-13,0x-API,676
3155863.8194937366,2024-01-13,1inch-LOP,258
1494423.1127389423,2024-01-13,airswap,325
255386.49820899326,2024-01-13,balancer,34
1018.179420559772,2024-01-13,bancor,7
17396.48535929197,2024-01-13,carbon_defi,1
328016.20307689195,2024-01-13,clipper,88
79382658.99171446,2024-01-13,curve,956
11664.065503996733,2024-01-13,defiswap,100
50557015.487959296,2024-01-13,dodo,151
2989217.6100371224,2024-01-13,integral,28
25984.10196223298,2024-01-13,kyberswap,26
2867744.9710502443,2024-01-13,maverick,143
25092572.731279913,2024-01-13,pancakeswap,718
24842.021972028335,2024-01-13,shibaswap,82
1469153.895541061,2024-01-13,solidly,87
986199.7842271341,2024-01-13,sushiswap,725
176513112.8012536,2024-01-13,uniswap,15688
79193.5207198062,2024-01-13,verse_dex,23
5663813.929381424,2024-01-14,0x-API,533
3398817.538722153,2024-01-14,1inch-LOP,224
2672605.234787915,2024-01-14,airswap,170
60088.546948032534,2024-01-14,balancer,16
1546.5132690996952,2024-01-14,bancor,4
297.43190534358,2024-01-14,carbon_defi,1
295346.24403079395,2024-01-14,clipper,60
50771618.9272623,2024-01-14,curve,564
7587.235306475317,2024-01-14,defiswap,83
29238700.253176894,2024-01-14,dodo,100
1899564.1553104215,2024-01-14,integral,14
